
Profile Time: 00:30:01
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:23:45   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:23:46   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:23:47   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.48
02/19/18 00:23:48   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.48
02/19/18 00:23:49   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:23:50   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:23:51   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.46
02/19/18 00:23:52   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.46
02/19/18 00:23:53   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.46
02/19/18 00:23:54   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:23:55   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.48
02/19/18 00:23:56   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.48
02/19/18 00:23:57   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:23:58   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:23:59   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:24:00   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:24:01   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:23:39   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.49
02/19/18 00:23:41   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.48

Profile Time: 05:00:01
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:26:37   NaN   0.01   0.01   0.010  7.66     NaN   NaN  11.56
02/19/18 00:26:43   NaN   0.01   0.01   0.010  7.66     NaN   NaN  11.57
02/19/18 00:26:44   NaN   0.01   0.01   0.010  7.66     NaN   NaN  11.58
02/19/18 00:26:20   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.66
02/19/18 00:26:21   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.67
02/19/18 00:26:22   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.66
02/19/18 00:26:23   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.68
02/19/18 00:26:24   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.63
02/19/18 00:26:25   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.63
02/19/18 00:26:26   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.62
02/19/18 00:26:27   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.61
02/19/18 00:26:28   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.59
02/19/18 00:26:29   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.63
02/19/18 00:26:30   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.62
02/19/18 00:26:31   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.61
02/19/18 00:26:32   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.61
02/19/18 00:26:33   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.58
02/19/18 00:26:34   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.57
02/19/18 00:26:35   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.56
02/19/18 00:26:36   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.55
02/19/18 00:26:38   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.58
02/19/18 00:26:39   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.58
02/19/18 00:26:40   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.58
02/19/18 00:26:41   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.57
02/19/18 00:26:42   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.57
02/19/18 00:26:45   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.56
02/19/18 00:26:46   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.54

Profile Time: 05:30:00
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 05:30:03 11.50   0.26   0.13   0.055  7.70    10.6  14.8  11.48
02/19/18 05:30:04 11.51   0.26   0.13   0.055  7.70    10.7  15.0  11.45
02/19/18 05:30:00 11.50   0.26   0.13   0.056  7.70    10.0  14.1  11.49
02/19/18 05:30:02 11.49   0.26   0.13   0.056  7.70    10.4  14.6  11.48
02/19/18 05:30:08 11.52   0.26   0.13   0.056  7.70    11.1  15.1  11.44
02/19/18 05:30:10 11.51   0.26   0.13   0.056  7.70    11.0  14.8  11.45
02/19/18 05:30:14 11.50   0.26   0.13   0.056  7.70    10.8  13.9  11.38
