
Profile Time: 00:00:01
Profile Date: 12/25/2017
Profile Location: jlnewhope Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/25/17 00:02:23   NaN    NaN    NaN   2.568  7.65    23.2  85.5    NaN
12/25/17 00:02:24   NaN    NaN    NaN   2.587  7.65    23.3  85.7    NaN
12/25/17 00:02:25   NaN    NaN    NaN   2.593  7.65    23.3  86.0    NaN
12/25/17 00:02:26   NaN    NaN    NaN   2.594  7.65    23.3  86.3    NaN
12/25/17 00:02:27   NaN    NaN    NaN   2.594  7.65    23.2  86.6    NaN
12/25/17 00:02:28   NaN    NaN    NaN   2.594  7.65    23.0  87.0    NaN
12/25/17 00:02:31   NaN    NaN    NaN   2.594  7.65    22.0  88.2    NaN
12/25/17 00:02:33   NaN    NaN    NaN   2.594  7.65    21.1  89.0    NaN
12/25/17 00:02:34   NaN    NaN    NaN   2.594  7.65    20.6  89.3    NaN
12/25/17 00:02:29   NaN    NaN    NaN   2.595  7.65    22.7  87.3    NaN
12/25/17 00:02:30   NaN    NaN    NaN   2.595  7.65    22.4  87.7    NaN
12/25/17 00:02:32   NaN    NaN    NaN   2.595  7.65    21.5  88.6    NaN

Profile Time: 00:30:01
Profile Date: 12/25/2017
Profile Location: jlnewhope Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/25/17 00:30:07   NaN    NaN    NaN   0.032  7.64    21.6  92.6    NaN
12/25/17 00:30:04   NaN    NaN    NaN   0.035  7.64    22.6  91.3    NaN
12/25/17 00:30:09   NaN    NaN    NaN   0.038  7.64    21.3  93.4    NaN
12/25/17 00:30:02   NaN    NaN    NaN   0.039  7.63    23.5  90.5    NaN
12/25/17 00:30:10   NaN    NaN    NaN   0.041  7.64    21.2  93.7    NaN
12/25/17 00:30:13   NaN    NaN    NaN   0.041  7.64    21.4  94.5    NaN
12/25/17 00:30:15   NaN    NaN    NaN   0.041  7.63    21.7  94.6    NaN
12/25/17 00:30:17   NaN    NaN    NaN   0.041  7.64    21.9  94.4    NaN
12/25/17 00:30:14   NaN    NaN    NaN   0.042  7.63    21.6  94.6    NaN
12/25/17 00:30:05   NaN    NaN    NaN   0.043  7.64    22.2  91.7    NaN
12/25/17 00:30:11   NaN    NaN    NaN   0.043  7.63    21.2  94.0    NaN
12/25/17 00:30:12   NaN    NaN    NaN   0.043  7.64    21.3  94.3    NaN
12/25/17 00:30:03   NaN    NaN    NaN   0.045  7.63    23.0  90.9    NaN
12/25/17 00:30:06   NaN    NaN    NaN   0.046  7.63    21.8  92.1    NaN
12/25/17 00:30:16   NaN    NaN    NaN   0.046  7.63    21.8  94.5    NaN
12/25/17 00:30:08   NaN    NaN    NaN   0.049  7.63    21.4  93.0    NaN
12/25/17 00:30:18   NaN    NaN    NaN   0.062  7.64    22.0  94.2    NaN
12/25/17 00:30:19   NaN    NaN    NaN   0.086  7.64    22.1  94.0    NaN
12/25/17 00:30:20   NaN    NaN    NaN   0.097  7.64    22.1  93.8    NaN
12/25/17 00:30:21   NaN    NaN    NaN   0.116  7.64    22.1  93.5    NaN
12/25/17 00:30:22   NaN    NaN    NaN   0.136  7.63    22.0  93.3    NaN
12/25/17 00:30:23   NaN    NaN    NaN   0.146  7.64    22.0  93.2    NaN
12/25/17 00:30:24   NaN    NaN    NaN   0.166  7.64    21.9  93.1    NaN
12/25/17 00:30:25   NaN    NaN    NaN   0.181  7.63    21.9  93.0    NaN
12/25/17 00:30:26   NaN    NaN    NaN   0.201  7.64    21.9  93.0    NaN
12/25/17 00:30:27   NaN    NaN    NaN   0.213  7.64    21.9  93.1    NaN
12/25/17 00:30:28   NaN    NaN    NaN   0.230  7.63    22.0  93.2    NaN
12/25/17 00:30:29   NaN    NaN    NaN   0.253  7.64    22.1  93.3    NaN
12/25/17 00:30:30   NaN    NaN    NaN   0.264  7.64    22.2  93.5    NaN
12/25/17 00:30:31   NaN    NaN    NaN   0.282  7.64    22.4  93.6    NaN
12/25/17 00:30:32   NaN    NaN    NaN   0.303  7.64    22.6  93.8    NaN
12/25/17 00:30:33   NaN    NaN    NaN   0.321  7.64    22.8  93.9    NaN
12/25/17 00:30:34   NaN    NaN    NaN   0.338  7.64    23.0  94.0    NaN
12/25/17 00:30:35   NaN    NaN    NaN   0.357  7.64    23.2  94.0    NaN
12/25/17 00:30:36   NaN    NaN    NaN   0.378  7.64    23.4  94.0    NaN
12/25/17 00:30:37   NaN    NaN    NaN   0.399  7.64    23.5  93.9    NaN
12/25/17 00:30:38   NaN    NaN    NaN   0.412  7.64    23.6  93.8    NaN
12/25/17 00:30:39   NaN    NaN    NaN   0.433  7.64    23.6  93.6    NaN
12/25/17 00:30:40   NaN    NaN    NaN   0.454  7.64    23.6  93.3    NaN
12/25/17 00:30:41   NaN    NaN    NaN   0.473  7.64    23.5  93.0    NaN
12/25/17 00:30:42   NaN    NaN    NaN   0.493  7.64    23.4  92.6    NaN
12/25/17 00:30:43   NaN    NaN    NaN   0.516  7.64    23.3  92.2    NaN
12/25/17 00:30:44   NaN    NaN    NaN   0.532  7.64    23.1  91.8    NaN
12/25/17 00:30:45   NaN    NaN    NaN   0.554  7.64    23.0  91.4    NaN
12/25/17 00:30:46   NaN    NaN    NaN   0.576  7.64    22.8  91.1    NaN
12/25/17 00:30:47   NaN    NaN    NaN   0.597  7.63    22.7  90.7    NaN
12/25/17 00:30:48   NaN    NaN    NaN   0.616  7.64    22.6  90.4    NaN
12/25/17 00:30:49   NaN    NaN    NaN   0.638  7.63    22.5  90.1    NaN
12/25/17 00:30:50   NaN    NaN    NaN   0.657  7.64    22.4  89.8    NaN
12/25/17 00:30:51   NaN    NaN    NaN   0.681  7.63    22.4  89.6    NaN
12/25/17 00:30:52   NaN    NaN    NaN   0.698  7.64    22.4  89.5    NaN
12/25/17 00:30:53   NaN    NaN    NaN   0.718  7.64    22.4  89.4    NaN
12/25/17 00:30:54   NaN    NaN    NaN   0.741  7.64    22.4  89.4    NaN
12/25/17 00:30:55   NaN    NaN    NaN   0.763  7.63    22.4  89.4    NaN
12/25/17 00:30:56   NaN    NaN    NaN   0.783  7.64    22.5  89.5    NaN
12/25/17 00:30:57   NaN    NaN    NaN   0.802  7.64    22.6  89.6    NaN
12/25/17 00:30:58   NaN    NaN    NaN   0.824  7.64    22.6  89.7    NaN
12/25/17 00:30:59   NaN    NaN    NaN   0.843  7.64    22.7  89.9    NaN
12/25/17 00:31:00   NaN    NaN    NaN   0.866  7.63    22.8  90.1    NaN
12/25/17 00:31:01   NaN    NaN    NaN   0.886  7.64    22.9  90.3    NaN
12/25/17 00:31:02   NaN    NaN    NaN   0.904  7.64    23.0  90.5    NaN
12/25/17 00:31:03   NaN    NaN    NaN   0.926  7.63    23.0  90.8    NaN
12/25/17 00:31:04   NaN    NaN    NaN   0.945  7.64    23.1  91.0    NaN
12/25/17 00:31:05   NaN    NaN    NaN   0.964  7.64    23.1  91.2    NaN
12/25/17 00:31:06   NaN    NaN    NaN   0.987  7.63    23.1  91.4    NaN
12/25/17 00:31:07   NaN    NaN    NaN   1.004  7.64    23.2  91.6    NaN
12/25/17 00:31:08   NaN    NaN    NaN   1.025  7.64    23.2  91.6    NaN
12/25/17 00:31:09   NaN    NaN    NaN   1.043  7.64    23.2  91.6    NaN
12/25/17 00:31:10   NaN    NaN    NaN   1.064  7.65    23.1  91.5    NaN
12/25/17 00:31:11   NaN    NaN    NaN   1.088  7.63    23.1  91.4    NaN
12/25/17 00:31:12   NaN    NaN    NaN   1.106  7.65    23.1  91.1    NaN
12/25/17 00:31:13   NaN    NaN    NaN   1.127  7.65    23.0  90.8    NaN
12/25/17 00:31:14   NaN    NaN    NaN   1.148  7.65    23.0  90.5    NaN
12/25/17 00:31:15   NaN    NaN    NaN   1.169  7.65    22.9  90.2    NaN
12/25/17 00:31:16   NaN    NaN    NaN   1.187  7.65    22.9  89.9    NaN
12/25/17 00:31:17   NaN    NaN    NaN   1.208  7.65    22.8  89.7    NaN
12/25/17 00:31:18   NaN    NaN    NaN   1.227  7.65    22.7  89.5    NaN
12/25/17 00:31:19   NaN    NaN    NaN   1.255  7.64    22.7  89.4    NaN
12/25/17 00:31:20   NaN    NaN    NaN   1.268  7.65    22.6  89.5    NaN
12/25/17 00:31:21   NaN    NaN    NaN   1.289  7.65    22.6  89.7    NaN
12/25/17 00:31:22   NaN    NaN    NaN   1.309  7.65    22.6  90.0    NaN
12/25/17 00:31:23   NaN    NaN    NaN   1.332  7.65    22.5  90.4    NaN
12/25/17 00:31:24   NaN    NaN    NaN   1.351  7.65    22.6  90.9    NaN
12/25/17 00:31:25   NaN    NaN    NaN   1.371  7.65    22.6  91.4    NaN
12/25/17 00:31:26   NaN    NaN    NaN   1.398  7.64    22.6  91.9    NaN
12/25/17 00:31:27   NaN    NaN    NaN   1.413  7.65    22.7  92.5    NaN
12/25/17 00:31:28   NaN    NaN    NaN   1.436  7.64    22.8  93.0    NaN
12/25/17 00:31:29   NaN    NaN    NaN   1.453  7.65    22.9  93.4    NaN
12/25/17 00:31:30   NaN    NaN    NaN   1.472  7.65    23.0  93.8    NaN
12/25/17 00:31:31   NaN    NaN    NaN   1.497  7.64    23.2  94.0    NaN
12/25/17 00:31:32   NaN    NaN    NaN   1.513  7.65    23.4  94.1    NaN
12/25/17 00:31:33   NaN    NaN    NaN   1.535  7.65    23.5  94.2    NaN
12/25/17 00:31:34   NaN    NaN    NaN   1.561  7.64    23.7  94.1    NaN
12/25/17 00:31:35   NaN    NaN    NaN   1.574  7.65    23.8  93.9    NaN
12/25/17 00:31:36   NaN    NaN    NaN   1.601  7.64    23.9  93.7    NaN
12/25/17 00:31:37   NaN    NaN    NaN   1.618  7.65    24.0  93.4    NaN
12/25/17 00:31:38   NaN    NaN    NaN   1.637  7.65    24.1  93.1    NaN
12/25/17 00:31:39   NaN    NaN    NaN   1.659  7.65    24.1  92.8    NaN
12/25/17 00:31:40   NaN    NaN    NaN   1.680  7.65    24.0  92.5    NaN
12/25/17 00:31:41   NaN    NaN    NaN   1.699  7.65    24.0  92.2    NaN
12/25/17 00:31:42   NaN    NaN    NaN   1.724  7.64    23.9  92.0    NaN
12/25/17 00:31:43   NaN    NaN    NaN   1.739  7.65    23.7  91.8    NaN
12/25/17 00:31:44   NaN    NaN    NaN   1.760  7.65    23.6  91.6    NaN
12/25/17 00:31:45   NaN    NaN    NaN   1.784  7.64    23.4  91.5    NaN
12/25/17 00:31:46   NaN    NaN    NaN   1.800  7.65    23.2  91.4    NaN
12/25/17 00:31:47   NaN    NaN    NaN   1.823  7.65    23.0  91.3    NaN
12/25/17 00:31:48   NaN    NaN    NaN   1.845  7.65    22.9  91.2    NaN
12/25/17 00:31:49   NaN    NaN    NaN   1.866  7.65    22.7  91.1    NaN
12/25/17 00:31:50   NaN    NaN    NaN   1.885  7.65    22.6  91.0    NaN
12/25/17 00:31:51   NaN    NaN    NaN   1.906  7.65    22.5  90.8    NaN
12/25/17 00:31:52   NaN    NaN    NaN   1.929  7.65    22.5  90.7    NaN
12/25/17 00:31:53   NaN    NaN    NaN   1.945  7.65    22.4  90.5    NaN
12/25/17 00:31:54   NaN    NaN    NaN   1.968  7.65    22.4  90.4    NaN
12/25/17 00:31:55   NaN    NaN    NaN   1.983  7.65    22.4  90.2    NaN
12/25/17 00:31:56   NaN    NaN    NaN   2.008  7.65    22.3  90.0    NaN
12/25/17 00:31:57   NaN    NaN    NaN   2.024  7.65    22.3  89.9    NaN
12/25/17 00:31:58   NaN    NaN    NaN   2.043  7.66    22.2  89.8    NaN
12/25/17 00:31:59   NaN    NaN    NaN   2.068  7.65    22.2  89.7    NaN
12/25/17 00:32:00   NaN    NaN    NaN   2.084  7.66    22.1  89.7    NaN
12/25/17 00:32:01   NaN    NaN    NaN   2.103  7.65    22.0  89.7    NaN
12/25/17 00:32:02   NaN    NaN    NaN   2.123  7.66    22.0  89.7    NaN
12/25/17 00:32:03   NaN    NaN    NaN   2.142  7.66    21.9  89.7    NaN
12/25/17 00:32:04   NaN    NaN    NaN   2.163  7.66    21.8  89.7    NaN
12/25/17 00:32:05   NaN    NaN    NaN   2.182  7.66    21.8  89.7    NaN
12/25/17 00:32:06   NaN    NaN    NaN   2.199  7.66    21.7  89.6    NaN
12/25/17 00:32:07   NaN    NaN    NaN   2.220  7.66    21.7  89.6    NaN
12/25/17 00:32:08   NaN    NaN    NaN   2.240  7.66    21.7  89.4    NaN
12/25/17 00:32:09   NaN    NaN    NaN   2.263  7.65    21.7  89.2    NaN
12/25/17 00:32:10   NaN    NaN    NaN   2.278  7.66    21.8  89.0    NaN
12/25/17 00:32:11   NaN    NaN    NaN   2.299  7.66    21.8  88.7    NaN
12/25/17 00:32:12   NaN    NaN    NaN   2.317  7.66    21.9  88.5    NaN
12/25/17 00:32:13   NaN    NaN    NaN   2.337  7.66    22.0  88.2    NaN
12/25/17 00:32:14   NaN    NaN    NaN   2.358  7.66    22.1  88.1    NaN
12/25/17 00:32:15   NaN    NaN    NaN   2.385  7.65    22.1  88.0    NaN
12/25/17 00:32:16   NaN    NaN    NaN   2.397  7.66    22.1  88.0    NaN
12/25/17 00:32:17   NaN    NaN    NaN   2.423  7.64    22.2  88.2    NaN
12/25/17 00:32:18   NaN    NaN    NaN   2.437  7.66    22.1  88.4    NaN
12/25/17 00:32:19   NaN    NaN    NaN   2.456  7.66    22.1  88.8    NaN
12/25/17 00:32:20   NaN    NaN    NaN   2.474  7.66    22.0  89.4    NaN
12/25/17 00:32:21   NaN    NaN    NaN   2.494  7.66    21.9  90.0    NaN
12/25/17 00:32:22   NaN    NaN    NaN   2.513  7.66    21.8  90.6    NaN
12/25/17 00:32:23   NaN    NaN    NaN   2.534  7.66    21.7  91.3    NaN
12/25/17 00:32:24   NaN    NaN    NaN   2.558  7.66    21.6  91.9    NaN
12/25/17 00:32:25   NaN    NaN    NaN   2.573  7.66    21.5  92.4    NaN
12/25/17 00:32:26   NaN    NaN    NaN   2.594  7.65    21.4  92.9    NaN
12/25/17 00:32:29   NaN    NaN    NaN   2.597  7.66    21.5  93.2    NaN
12/25/17 00:32:32   NaN    NaN    NaN   2.597  7.66    21.8  91.9    NaN
12/25/17 00:32:35   NaN    NaN    NaN   2.597  7.66    22.3  89.6    NaN
12/25/17 00:32:27   NaN    NaN    NaN   2.598  7.66    21.4  93.1    NaN
12/25/17 00:32:28   NaN    NaN    NaN   2.598  7.66    21.4  93.2    NaN
12/25/17 00:32:31   NaN    NaN    NaN   2.598  7.66    21.7  92.5    NaN
12/25/17 00:32:34   NaN    NaN    NaN   2.598  7.66    22.1  90.4    NaN
12/25/17 00:32:33   NaN    NaN    NaN   2.605  7.64    22.0  91.2    NaN
12/25/17 00:32:36   NaN    NaN    NaN   2.606  7.64    22.5  88.8    NaN
