
Profile Time: 00:00:00
Profile Date: 06/01/2017
Profile Location: jlhaw Serial no: : 0001B4A5, ID: : NotSet
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
06/01/17 08:16:38 26.55   0.11   0.05   0.286  8.71     9.0  15.6  11.15
06/01/17 08:16:39 26.55   0.11   0.05   0.302  8.71     8.9  15.5  11.17
06/01/17 08:16:40 26.55   0.11   0.05   0.321  8.72     8.8  15.4  11.18
06/01/17 08:16:41 26.55   0.11   0.05   0.338  8.72     8.8  15.3  11.19
06/01/17 08:16:42 26.55   0.11   0.05   0.354  8.72     8.8  15.3  11.21
06/01/17 08:16:43 26.55   0.11   0.05   0.373  8.72     8.8  15.3  11.22
06/01/17 08:16:44 26.55   0.11   0.05   0.395  8.73     8.8  15.4  11.23
06/01/17 08:16:45 26.55   0.11   0.05   0.412  8.73     8.8  15.5  11.25
06/01/17 08:16:46 26.55   0.11   0.05   0.426  8.73     8.8  15.7  11.25
06/01/17 08:16:47 26.55   0.11   0.05   0.445  8.73     8.8  15.9  11.27
06/01/17 08:16:48 26.55   0.11   0.05   0.468  8.73     8.9  16.2  11.28
06/01/17 08:16:49 26.55   0.11   0.05   0.488  8.74     8.9  16.6  11.29
06/01/17 08:16:50 26.55   0.11   0.05   0.507  8.74     9.0  16.9  11.29
06/01/17 08:16:51 26.54   0.11   0.05   0.525  8.74     9.1  17.3  11.31

Profile Time: 11:00:00
Profile Date: 06/01/2017
Profile Location: jlhaw Serial no: : 0001B4A5, ID: : NotSet
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
06/01/17 11:00:03 29.14   0.10   0.05   0.036  9.15     7.8  17.4  13.40
06/01/17 11:00:02 29.15   0.10   0.05   0.037  9.15     7.7  17.4  13.41
06/01/17 11:00:08 29.18   0.10   0.05   0.037  9.16     8.0  17.5  13.35
06/01/17 11:00:14 29.20   0.10   0.05   0.037  9.16     8.1  17.7  13.32
06/01/17 11:00:04 29.15   0.10   0.05   0.038  9.15     7.9  17.5  13.38
06/01/17 11:00:11 29.20   0.10   0.05   0.038  9.16     8.0  17.5  13.33
06/01/17 11:00:12 29.21   0.10   0.05   0.039  9.16     8.0  17.5  13.34
06/01/17 11:00:01 29.16   0.10   0.05   0.040  9.15     7.6  17.3  13.40
06/01/17 11:00:07 29.16   0.10   0.05   0.040  9.15     8.0  17.5  13.36
06/01/17 11:00:13 29.21   0.10   0.05   0.040  9.16     8.1  17.6  13.33
06/01/17 11:00:09 29.19   0.10   0.05   0.041  9.16     8.0  17.5  13.34
06/01/17 11:00:10 29.19   0.10   0.05   0.041  9.16     8.0  17.5  13.35
06/01/17 11:00:05 29.15   0.10   0.05   0.043  9.15     7.9  17.5  13.37
06/01/17 11:00:06 29.16   0.10   0.05   0.044  9.15     8.0  17.5  13.37
06/01/17 11:00:15 29.20   0.10   0.05   0.057  9.16     8.1  17.9  13.32
06/01/17 11:00:16 29.19   0.10   0.05   0.077  9.16     8.2  18.2  13.32
06/01/17 11:00:17 29.19   0.10   0.05   0.092  9.16     8.3  18.5  13.32
06/01/17 11:00:18 29.18   0.10   0.05   0.104  9.16     8.4  18.9  13.32
06/01/17 11:00:19 29.18   0.10   0.05   0.123  9.16     8.5  19.3  13.32
06/01/17 11:00:20 29.16   0.10   0.05   0.145  9.16     8.6  19.7  13.30
06/01/17 11:00:21 29.14   0.10   0.05   0.162  9.16     8.7  20.1  13.29
06/01/17 11:00:22 29.11   0.10   0.05   0.176  9.16     8.8  20.5  13.28
06/01/17 11:00:23 29.07   0.10   0.05   0.189  9.16     9.0  20.9  13.29
06/01/17 11:00:24 29.04   0.10   0.05   0.210  9.16     9.1  21.2  13.28
06/01/17 11:00:25 28.99   0.10   0.05   0.225  9.16     9.2  21.5  13.28
06/01/17 11:00:26 28.93   0.11   0.05   0.243  9.17     9.2  21.7  13.29
06/01/17 11:00:27 28.89   0.11   0.05   0.256  9.17     9.3  21.9  13.30
06/01/17 11:00:28 28.83   0.11   0.05   0.269  9.17     9.4  22.0  13.31
06/01/17 11:00:29 28.74   0.11   0.05   0.286  9.17     9.4  22.1  13.33
06/01/17 11:00:30 28.63   0.11   0.05   0.307  9.17     9.4  22.1  13.37
06/01/17 11:00:31 28.54   0.11   0.05   0.321  9.17     9.5  22.0  13.39
06/01/17 11:00:32 28.37   0.11   0.05   0.338  9.17     9.5  22.0  13.44
06/01/17 11:00:33 28.23   0.11   0.05   0.354  9.17     9.5  21.9  13.46
06/01/17 11:00:34 28.00   0.11   0.05   0.381  9.18     9.5  21.9  13.53
06/01/17 11:00:35 27.73   0.11   0.05   0.397  9.18     9.5  21.8  13.62
06/01/17 11:00:36 27.46   0.11   0.05   0.417  9.18     9.5  21.8  13.69
06/01/17 11:00:37 27.31   0.11   0.05   0.431  9.18     9.5  21.8  13.71
06/01/17 11:00:38 27.14   0.11   0.05   0.454  9.19     9.5  21.8  13.74
06/01/17 11:00:39 27.04   0.11   0.05   0.470  9.18     9.5  21.8  13.73
06/01/17 11:00:40 26.98   0.11   0.05   0.487  9.19     9.5  21.9  13.71
06/01/17 11:00:41 26.95   0.11   0.05   0.506  9.19     9.5  21.9  13.69
06/01/17 11:00:42 27.00   0.11   0.05   0.527  9.18     9.5  22.0  13.63
06/01/17 11:00:43 26.94   0.11   0.05   0.547  9.18     9.5  22.0  13.61
06/01/17 11:00:44 26.91   0.11   0.05   0.568  9.18     9.6  22.1  13.58
06/01/17 11:00:45 26.94   0.11   0.05   0.590  9.18     9.6  22.1  13.52
06/01/17 11:00:46 26.97   0.11   0.05   0.604  9.17     9.6  22.2  13.46
06/01/17 11:00:47 26.92   0.11   0.05   0.624  9.17     9.7  22.2  13.43
06/01/17 11:00:48 26.86   0.11   0.05   0.645  9.17     9.7  22.2  13.42
06/01/17 11:00:49 26.82   0.11   0.05   0.662  9.17     9.8  22.2  13.42
06/01/17 11:00:50 26.82   0.11   0.05   0.678  9.17     9.8  22.2  13.38
06/01/17 11:00:51 26.81   0.11   0.05   0.698  9.17     9.8  22.2  13.35
06/01/17 11:00:52 26.77   0.11   0.05   0.710  9.17     9.9  22.2  13.30
06/01/17 11:00:53 26.79   0.11   0.05   0.744  9.17     9.9  22.2  13.25
06/01/17 11:00:54 26.82   0.11   0.05   0.757  9.16     9.9  22.2  13.20
06/01/17 11:00:55 26.77   0.11   0.05   0.779  9.16     9.9  22.2  13.18
06/01/17 11:00:56 26.73   0.11   0.05   0.799  9.15     9.9  22.2  13.16
06/01/17 11:00:57 26.72   0.11   0.05   0.818  9.15     9.9  22.2  13.11
06/01/17 11:00:58 26.72   0.11   0.05   0.837  9.14     9.9  22.1  13.08
06/01/17 11:00:59 26.70   0.11   0.05   0.860  9.14     9.9  22.1  13.04
06/01/17 11:01:00 26.67   0.11   0.05   0.875  9.14     9.9  22.1  13.02
06/01/17 11:01:01 26.63   0.11   0.05   0.893  9.14     9.9  22.0  12.99
06/01/17 11:01:02 26.61   0.11   0.05   0.914  9.13    10.0  22.0  12.97
06/01/17 11:01:03 26.61   0.11   0.05   0.935  9.13    10.0  21.9  12.94
06/01/17 11:01:04 26.61   0.11   0.05   0.951  9.13    10.0  21.8  12.91
06/01/17 11:01:05 26.61   0.11   0.05   0.971  9.13    10.0  21.7  12.89
06/01/17 11:01:06 26.60   0.11   0.05   0.995  9.12    10.0  21.6  12.87
06/01/17 11:01:07 26.59   0.11   0.05   1.010  9.12    10.0  21.5  12.84
06/01/17 11:01:08 26.59   0.11   0.05   1.026  9.12    10.0  21.4  12.81
06/01/17 11:01:09 26.58   0.11   0.05   1.055  9.12     9.9  21.2  12.79
06/01/17 11:01:10 26.58   0.11   0.05   1.080  9.12     9.9  21.0  12.78
06/01/17 11:01:11 26.58   0.11   0.05   1.090  9.12     9.9  20.8  12.77
06/01/17 11:01:12 26.56   0.10   0.05   1.106  9.12     9.8  20.6  12.75
06/01/17 11:01:13 26.55   0.10   0.05   1.126  9.12     9.8  20.3  12.74
06/01/17 11:01:14 26.54   0.11   0.05   1.144  9.11     9.7  20.1  12.72
06/01/17 11:01:15 26.53   0.10   0.05   1.164  9.11     9.6  19.8  12.68
06/01/17 11:01:16 26.51   0.10   0.05   1.184  9.11     9.6  19.5  12.67
06/01/17 11:01:17 26.51   0.10   0.05   1.207  9.11     9.5  19.3  12.65
06/01/17 11:01:18 26.50   0.10   0.05   1.222  9.11     9.5  19.0  12.63
06/01/17 11:01:19 26.49   0.10   0.05   1.243  9.11     9.4  18.7  12.62
06/01/17 11:01:20 26.49   0.10   0.05   1.261  9.11     9.4  18.5  12.59
06/01/17 11:01:21 26.49   0.10   0.05   1.282  9.11     9.4  18.2  12.56
06/01/17 11:01:22 26.49   0.10   0.05   1.300  9.10     9.3  18.0  12.53
06/01/17 11:01:23 26.49   0.10   0.05   1.328  9.10     9.3  17.8  12.52
06/01/17 11:01:24 26.46   0.10   0.05   1.345  9.10     9.3  17.6  12.50
06/01/17 11:01:25 26.45   0.10   0.05   1.359  9.10     9.3  17.5  12.50
06/01/17 11:01:26 26.45   0.10   0.05   1.379  9.10     9.3  17.4  12.47
06/01/17 11:01:27 26.45   0.10   0.05   1.401  9.10     9.2  17.3  12.45
06/01/17 11:01:28 26.44   0.10   0.05   1.419  9.10     9.2  17.2  12.43
06/01/17 11:01:29 26.44   0.10   0.05   1.433  9.09     9.2  17.2  12.42
06/01/17 11:01:30 26.44   0.10   0.05   1.460  9.09     9.2  17.1  12.42
06/01/17 11:01:31 26.43   0.10   0.05   1.481  9.09     9.1  17.1  12.39
06/01/17 11:01:32 26.42   0.10   0.05   1.497  9.09     9.1  17.1  12.38
06/01/17 11:01:33 26.43   0.10   0.05   1.515  9.09     9.1  17.1  12.36
06/01/17 11:01:34 26.43   0.10   0.05   1.536  9.09     9.0  17.1  12.32
06/01/17 11:01:35 26.43   0.10   0.05   1.554  9.09     9.0  17.0  12.30
06/01/17 11:01:36 26.43   0.10   0.05   1.571  9.09     8.9  16.9  12.28
06/01/17 11:01:37 26.44   0.10   0.05   1.591  9.08     8.9  16.8  12.26
06/01/17 11:01:38 26.44   0.10   0.05   1.613  9.08     8.9  16.6  12.24
06/01/17 11:01:39 26.44   0.10   0.05   1.637  9.08     8.8  16.4  12.21
06/01/17 11:01:40 26.44   0.10   0.05   1.651  9.07     8.8  16.2  12.19
06/01/17 11:01:41 26.43   0.10   0.05   1.671  9.07     8.8  15.9  12.16
06/01/17 11:01:42 26.42   0.10   0.05   1.692  9.07     8.8  15.6  12.13
06/01/17 11:01:43 26.40   0.10   0.05   1.707  9.06     8.8  15.2  12.10
06/01/17 11:01:44 26.38   0.10   0.05   1.727  9.06     8.8  14.9  12.09
06/01/17 11:01:45 26.34   0.10   0.05   1.751  9.05     8.8  14.5  12.07
06/01/17 11:01:46 26.31   0.10   0.05   1.770  9.05     8.9  14.1  12.03
06/01/17 11:01:47 26.29   0.10   0.05   1.783  9.04     8.9  13.8  12.00
06/01/17 11:01:48 26.27   0.10   0.05   1.805  9.04     8.9  13.4  11.95
06/01/17 11:01:49 26.25   0.10   0.05   1.825  9.03     8.9  13.1  11.91
06/01/17 11:01:50 26.23   0.10   0.05   1.842  9.03     9.0  12.9  11.89
06/01/17 11:01:51 26.21   0.10   0.05   1.863  9.03     9.0  12.6  11.84
06/01/17 11:01:52 26.20   0.10   0.05   1.884  9.02     9.0  12.4  11.81
06/01/17 11:01:53 26.20   0.10   0.05   1.905  9.02     9.0  12.2  11.77
06/01/17 11:01:54 26.19   0.10   0.05   1.920  9.02     9.1  12.1  11.75
06/01/17 11:01:55 26.18   0.10   0.05   1.940  9.01     9.1  12.1  11.70
06/01/17 11:01:56 26.18   0.10   0.05   1.960  9.01     9.1  12.0  11.66
06/01/17 11:01:57 26.17   0.10   0.05   1.973  9.01     9.1  12.0  11.62
06/01/17 11:01:58 26.17   0.10   0.05   2.000  9.01     9.1  12.1  11.59
06/01/17 11:01:59 26.16   0.10   0.05   2.019  9.00     9.1  12.1  11.55
06/01/17 11:02:00 26.14   0.10   0.05   2.035  9.00     9.1  12.3  11.52
06/01/17 11:02:01 26.14   0.10   0.05   2.053  9.00     9.1  12.4  11.50
06/01/17 11:02:02 26.15   0.10   0.05   2.075  9.00     9.1  12.5  11.47
06/01/17 11:02:03 26.16   0.10   0.05   2.097  8.99     9.1  12.7  11.42
06/01/17 11:02:04 26.15   0.10   0.05   2.116  8.99     9.2  12.8  11.39
06/01/17 11:02:05 26.15   0.10   0.05   2.135  8.98     9.2  12.9  11.34
06/01/17 11:02:06 26.15   0.10   0.05   2.155  8.98     9.3  13.0  11.30
06/01/17 11:02:07 26.16   0.10   0.05   2.174  8.98     9.3  13.0  11.25
06/01/17 11:02:08 26.18   0.10   0.05   2.191  8.97     9.4  13.0  11.21
06/01/17 11:02:09 26.19   0.10   0.05   2.213  8.96     9.5  13.0  11.17
06/01/17 11:02:10 26.20   0.10   0.05   2.232  8.95     9.5  12.8  11.12
06/01/17 11:02:11 26.20   0.10   0.05   2.251  8.95     9.6  12.6  11.08
06/01/17 11:02:12 26.18   0.10   0.05   2.269  8.94     9.7  12.4  11.02
