
Profile Time: 01:12:18
Profile Date: 12/01/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/01/18 01:14:50  9.44   0.08   0.04   2.591  7.57    24.1   5.4   9.51
12/01/18 01:14:51  9.44   0.08   0.04   2.613  7.57    24.1   5.4   9.51
12/01/18 01:14:52  9.44   0.08   0.04   2.635  7.57    24.1   5.4   9.51
12/01/18 01:14:53  9.44   0.08   0.04   2.653  7.57    24.2   5.4   9.51
12/01/18 01:14:54  9.44   0.08   0.04   2.674  7.57    24.2   5.4   9.52
12/01/18 01:14:55  9.44   0.08   0.04   2.692  7.57    24.2   5.4   9.52
12/01/18 01:14:56  9.44   0.08   0.04   2.712  7.57    24.2   5.4   9.52
12/01/18 01:14:57  9.44   0.08   0.04   2.732  7.57    24.2   5.5   9.52
12/01/18 01:14:58  9.43   0.08   0.04   2.750  7.57    24.1   5.6   9.53
12/01/18 01:14:59  9.43   0.08   0.04   2.767  7.57    24.1   5.7   9.53
12/01/18 01:15:00  9.43   0.08   0.04   2.788  7.57    24.1   5.9   9.54
12/01/18 01:15:01  9.43   0.08   0.04   2.806  7.57    24.0   6.0   9.53
12/01/18 01:15:02  9.43   0.08   0.04   2.822  7.56    24.0   6.2   9.54
12/01/18 01:15:03  9.43   0.08   0.04   2.841  7.57    24.0   6.4   9.53
12/01/18 01:15:04  9.43   0.08   0.04   2.860  7.57    24.0   6.6   9.54
12/01/18 01:15:05  9.44   0.08   0.04   2.878  7.57    24.0   6.8   9.54
12/01/18 01:15:06  9.44   0.08   0.04   2.900  7.57    24.0   7.0   9.53
12/01/18 01:15:07  9.44   0.08   0.04   2.922  7.57    24.1   7.1   9.53
12/01/18 01:15:08  9.44   0.08   0.04   2.938  7.57    24.1   7.2   9.53
12/01/18 01:15:09  9.44   0.08   0.04   2.959  7.57    24.1   7.2   9.54
12/01/18 01:15:10  9.43   0.08   0.04   2.983  7.57    24.2   7.2   9.54
12/01/18 01:15:11  9.42   0.08   0.04   3.001  7.57    24.2   7.1   9.55
12/01/18 01:15:12  9.41   0.08   0.04   3.020  7.57    24.3   7.0   9.55
12/01/18 01:15:13  9.40   0.08   0.04   3.042  7.57    24.3   6.9   9.55
12/01/18 01:15:14  9.39   0.08   0.04   3.060  7.57    24.4   6.8   9.55
12/01/18 01:15:15  9.38   0.08   0.04   3.079  7.57    24.4   6.6   9.55
12/01/18 01:15:16  9.38   0.08   0.04   3.101  7.56    24.4   6.5   9.56
