
Profile Time: 00:14:58
Profile Date: 12/06/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky      
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/06/18 00:17:47 10.49   0.12   0.06   2.945  7.78    18.0   4.8   9.93
12/06/18 00:17:48 10.49   0.12   0.06   2.964  7.78    18.0   5.0   9.92
12/06/18 00:17:49 10.49   0.12   0.06   2.986  7.77    17.9   5.2   9.92
12/06/18 00:17:50 10.48   0.12   0.06   3.006  7.77    17.9   5.3   9.92
12/06/18 00:17:51 10.48   0.12   0.06   3.023  7.77    17.8   5.5   9.92
12/06/18 00:17:52 10.48   0.12   0.06   3.043  7.77    17.7   5.6   9.92
12/06/18 00:17:53 10.48   0.12   0.06   3.061  7.77    17.7   5.8   9.92
12/06/18 00:17:54 10.49   0.12   0.06   3.078  7.77    17.7   5.9   9.92
12/06/18 00:17:55 10.49   0.12   0.06   3.101  7.77    17.6   5.9   9.91
12/06/18 00:17:56 10.50   0.12   0.06   3.121  7.77    17.6   6.0   9.91
12/06/18 00:17:57 10.50   0.12   0.06   3.138  7.77    17.6   6.0   9.91
12/06/18 00:17:58 10.50   0.12   0.06   3.156  7.77    17.7   6.1   9.90
12/06/18 00:17:59 10.50   0.12   0.06   3.178  7.77    17.7   6.1   9.90
12/06/18 00:18:00 10.50   0.12   0.06   3.199  7.77    17.7   6.1   9.89
12/06/18 00:18:01 10.50   0.12   0.06   3.220  7.77    17.8   6.1   9.89
12/06/18 00:18:02 10.50   0.12   0.06   3.236  7.77    17.8   6.1   9.88
12/06/18 00:18:03 10.50   0.12   0.06   3.255  7.77    17.8   6.2   9.88
12/06/18 00:18:04 10.50   0.12   0.06   3.275  7.77    17.9   6.2   9.88
12/06/18 00:18:05 10.50   0.12   0.06   3.296  7.77    17.9   6.1   9.88
12/06/18 00:18:06 10.50   0.12   0.06   3.315  7.77    17.9   6.1   9.88
12/06/18 00:18:07 10.49   0.12   0.06   3.335  7.77    17.9   6.1   9.89
12/06/18 00:18:08 10.49   0.12   0.06   3.351  7.77    17.9   6.0   9.89
12/06/18 00:18:09 10.49   0.12   0.06   3.370  7.77    18.0   6.0   9.89
12/06/18 00:18:10 10.49   0.12   0.06   3.391  7.77    18.0   5.9   9.89
12/06/18 00:18:11 10.49   0.12   0.06   3.410  7.77    18.0   5.8   9.88
12/06/18 00:18:12 10.49   0.12   0.06   3.430  7.77    18.0   5.7   9.88
12/06/18 00:18:13 10.50   0.12   0.06   3.450  7.77    18.1   5.6   9.87
12/06/18 00:18:14 10.50   0.12   0.06   3.468  7.76    18.1   5.5   9.87
12/06/18 00:18:15 10.50   0.12   0.06   3.489  7.76    18.1   5.4   9.87
12/06/18 00:18:16 10.50   0.12   0.06   3.509  7.77    18.1   5.3   9.87
12/06/18 00:18:17 10.49   0.12   0.06   3.527  7.77    18.1   5.2   9.87
12/06/18 00:18:18 10.46   0.12   0.06   3.546  7.77    18.1   5.1   9.88
12/06/18 00:18:19 10.45   0.12   0.06   3.568  7.77    18.0   5.0   9.88
12/06/18 00:18:20 10.44   0.12   0.06   3.586  7.77    18.0   5.0   9.87
12/06/18 00:18:21 10.45   0.12   0.06   3.603  7.77    17.9   4.9   9.87
12/06/18 00:18:22 10.45   0.12   0.06   3.624  7.77    17.8   4.9   9.87
12/06/18 00:18:23 10.46   0.12   0.06   3.643  7.77    17.7   4.8   9.87
12/06/18 00:18:24 10.47   0.12   0.06   3.660  7.77    17.5   4.8   9.86
12/06/18 00:18:25 10.47   0.12   0.06   3.683  7.77    17.4   4.8   9.86
12/06/18 00:18:26 10.47   0.12   0.06   3.701  7.77    17.2   4.9   9.86
12/06/18 00:18:27 10.48   0.12   0.06   3.719  7.77    17.1   4.9   9.86
12/06/18 00:18:28 10.47   0.12   0.06   3.740  7.77    16.9   5.0   9.86
12/06/18 00:18:29 10.48   0.12   0.06   3.760  7.77    16.8   5.1   9.86
12/06/18 00:18:30 10.48   0.12   0.06   3.779  7.77    16.7   5.2   9.86
12/06/18 00:18:31 10.47   0.12   0.06   3.798  7.76    16.6   5.4   9.86
12/06/18 00:18:32 10.45   0.12   0.06   3.817  7.76    16.5   5.5   9.87
12/06/18 00:18:33 10.43   0.12   0.06   3.835  7.76    16.4   5.7   9.87
12/06/18 00:18:34 10.41   0.12   0.06   3.854  7.76    16.4   5.8   9.88
12/06/18 00:18:35 10.41   0.12   0.06   3.874  7.76    16.3   5.9   9.88
12/06/18 00:18:36 10.40   0.12   0.06   3.894  7.76    16.3   5.9   9.88
12/06/18 00:18:37 10.41   0.12   0.06   3.914  7.76    16.3   6.0   9.87
12/06/18 00:18:38 10.43   0.12   0.06   3.932  7.76    16.3   6.0   9.87
12/06/18 00:18:39 10.45   0.12   0.06   3.952  7.76    16.3   5.9   9.86
12/06/18 00:18:40 10.46   0.12   0.06   3.969  7.76    16.3   5.8   9.85
12/06/18 00:18:41 10.47   0.12   0.06   3.987  7.76    16.3   5.7   9.85
12/06/18 00:18:42 10.48   0.12   0.06   4.009  7.76    16.3   5.6   9.85
12/06/18 00:18:43 10.46   0.12   0.06   4.027  7.76    16.3   5.5   9.85
12/06/18 00:18:44 10.44   0.12   0.06   4.047  7.76    16.3   5.3   9.85
12/06/18 00:18:45 10.44   0.12   0.06   4.069  7.76    16.4   5.2   9.86
12/06/18 00:18:46 10.43   0.12   0.06   4.088  7.76    16.4   5.1   9.86
12/06/18 00:18:47 10.43   0.12   0.06   4.106  7.76    16.5   5.0   9.87
12/06/18 00:18:48 10.44   0.12   0.06   4.128  7.76    16.5   4.9   9.86
12/06/18 00:18:49 10.44   0.12   0.06   4.147  7.76    16.6   4.9   9.86
12/06/18 00:18:50 10.45   0.12   0.06   4.164  7.76    16.7   4.8   9.85
12/06/18 00:18:51 10.46   0.12   0.06   4.184  7.76    16.8   4.8   9.84
12/06/18 00:18:52 10.46   0.12   0.06   4.203  7.76    16.8   4.7   9.84
12/06/18 00:18:53 10.46   0.12   0.06   4.222  7.76    16.9   4.7   9.84
12/06/18 00:18:54 10.46   0.12   0.06   4.243  7.76    17.0   4.6   9.84
12/06/18 00:18:55 10.46   0.12   0.06   4.261  7.76    17.1   4.5   9.83
12/06/18 00:18:56 10.46   0.12   0.06   4.283  7.76    17.1   4.3   9.83
12/06/18 00:18:57 10.47   0.12   0.06   4.303  7.76    17.2   4.2   9.83
12/06/18 00:18:58 10.47   0.12   0.06   4.323  7.76    17.2   4.0   9.83
12/06/18 00:18:59 10.47   0.12   0.06   4.343  7.76    17.2   3.9   9.83
12/06/18 00:19:00 10.47   0.12   0.06   4.359  7.77    17.2   3.7   9.84
12/06/18 00:19:01 10.47   0.12   0.06   4.379  7.77    17.3   3.7   9.84
12/06/18 00:19:02 10.47   0.12   0.06   4.398  7.77    17.3   3.6   9.83
12/06/18 00:19:03 10.46   0.12   0.06   4.415  7.77    17.3   3.6   9.83
12/06/18 00:19:04 10.46   0.12   0.06   4.434  7.77    17.3   3.6   9.84
12/06/18 00:19:05 10.47   0.12   0.06   4.455  7.76    17.3   3.7   9.84
12/06/18 00:19:06 10.47   0.12   0.06   4.475  7.76    17.2   3.9   9.84
12/06/18 00:19:07 10.47   0.12   0.06   4.495  7.76    17.2   4.1   9.84
12/06/18 00:19:08 10.48   0.12   0.06   4.515  7.76    17.2   4.3   9.85
12/06/18 00:19:09 10.48   0.12   0.06   4.533  7.76    17.2   4.4   9.87
12/06/18 00:19:10 10.48   0.12   0.06   4.552  7.76    17.2   4.6   9.87
12/06/18 00:19:11 10.47   0.12   0.06   4.572  7.76    17.2   4.7   9.86
12/06/18 00:19:12 10.47   0.12   0.06   4.594  7.76    17.2   4.8   9.87
12/06/18 00:19:13 10.47   0.12   0.06   4.610  7.76    17.1   4.9   9.87
12/06/18 00:19:14 10.46   0.12   0.06   4.632  7.76    17.1   4.9   9.87
12/06/18 00:19:15 10.46   0.12   0.06   4.652  7.76    17.1   4.8   9.87
12/06/18 00:19:16 10.47   0.12   0.06   4.668  7.76    17.1   4.7   9.85
