
Profile Time: 03:07:27
Profile Date: 03/30/2019
Profile Location: jlhaw Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
03/30/19 06:30:55 14.99   0.12   0.06   0.245  8.59    16.3  12.8  11.32
03/30/19 06:30:56 14.99   0.12   0.06   0.265  8.59    16.3  12.9  11.32
03/30/19 06:30:57 14.99   0.12   0.06   0.278  8.59    16.2  12.9  11.33
03/30/19 06:30:58 14.99   0.12   0.06   0.292  8.59    16.1  12.9  11.33
03/30/19 06:30:59 14.99   0.12   0.06   0.307  8.59    16.0  12.9  11.32
03/30/19 06:31:00 14.99   0.12   0.06   0.327  8.59    15.9  12.9  11.32
03/30/19 06:31:01 14.99   0.12   0.06   0.350  8.59    15.8  12.9  11.34
03/30/19 06:31:02 15.00   0.12   0.06   0.364  8.59    15.8  12.9  11.34
03/30/19 06:31:03 15.00   0.12   0.06   0.374  8.59    15.7  12.8  11.36
03/30/19 06:31:04 15.00   0.12   0.06   0.396  8.59    15.6  12.8  11.35
03/30/19 06:31:05 15.00   0.12   0.06   0.416  8.59    15.6  12.8  11.36
03/30/19 06:31:06 15.00   0.12   0.06   0.438  8.59    15.6  12.7  11.35
03/30/19 06:31:07 15.00   0.12   0.06   0.454  8.59    15.6  12.7  11.35
03/30/19 06:31:08 15.00   0.12   0.06   0.473  8.59    15.6  12.6  11.35
03/30/19 06:31:09 15.00   0.12   0.06   0.487  8.59    15.6  12.6  11.36
03/30/19 06:31:10 15.00   0.12   0.06   0.505  8.59    15.6  12.6  11.35
03/30/19 06:31:11 15.00   0.12   0.06   0.530  8.58    15.7  12.6  11.34
03/30/19 06:31:12 15.00   0.12   0.06   0.548  8.59    15.7  12.6  11.33
03/30/19 06:31:13 15.00   0.12   0.06   0.569  8.59    15.7  12.6  11.33
03/30/19 06:31:14 15.00   0.12   0.06   0.591  8.59    15.7  12.6  11.32
03/30/19 06:31:15 15.00   0.12   0.06   0.610  8.58    15.7  12.7  11.32
03/30/19 06:31:16 15.00   0.12   0.06   0.620  8.58    15.7  12.8  11.34
03/30/19 06:31:17 15.00   0.12   0.06   0.648  8.59    15.7  12.9  11.34
03/30/19 06:31:18 15.00   0.12   0.06   0.659  8.59    15.7  13.0  11.33
03/30/19 06:31:19 15.00   0.12   0.06   0.680  8.59    15.7  13.1  11.32
03/30/19 06:31:20 15.00   0.12   0.06   0.700  8.59    15.7  13.2  11.32
03/30/19 06:31:21 15.00   0.12   0.06   0.720  8.59    15.7  13.4  11.33
03/30/19 06:31:22 15.00   0.12   0.06   0.740  8.59    15.7  13.5  11.35
03/30/19 06:31:23 15.00   0.12   0.06   0.757  8.59    15.8  13.6  11.35
